A|XLV|f|5284|32.87|101514250
AA|XLB|f|5284|39.73|197620514
AAAB|XLF|t|732|15.30|162088
AAAGY|XLV|t|1812|20.31|467248
AAAP|XLV|t|531|43.05|11220210
AABA|XLI|t|4969|28.71|503216071
AABC|XLF|t|960|10.68|51504
AACC|XLF|t|2355|10.44|1704966
AACE|XLF|t|1687|17.42|1273841
AADI|XLV|f|812|34.05|812265
AAI|XLI|t|2850|8.16|14785940
AAIC|XLF|f|5284|19.62|1996899
AAII|XLI|t|1552|8.99|3937467
AAL|XLI|f|3843|25.27|234195297
AAMC|XLRE|f|1893|110.74|2787694
AAMI|XLF|f|1569|12.63|6039968
AANB|XLF|t|2233|11.39|37702
AAOI|XLK|f|1830|22.09|30854730
AAON|XLI|f|5283|9.54|2558138
AAP|XLY|f|4806|69.97|78324037
AAPC|XLF|t|356|10.52|232172
AAPL|XLK|f|5284|17.22|3956603309
AAT|XLRE|f|2509|23.28|5673498
AATI|XLK|t|1621|6.39|2961888
AAU|XLB|f|4213|1.38|309762
AAV|XLE|t|3638|6.58|2642149
AAVL|XLI|t|378|5.69|4641069
AAWHQ|XLI|t|1117|14.19|3212701
AAWW|XLI|f|4079|44.37|12974426
AB|XLF|f|5284|9.85|3241094
ABAC|XLB|t|2112|6.00|95824
ABAX|XLV|t|4673|26.21|5111811
ABBC|XLF|t|1705|9.31|616853
ABBK|XLF|t|979|20.13|206650
ABBV|XLV|f|2030|48.88|388468107
ABC|XLV|f|5284|38.92|89269468
ABCB|XLF|f|5249|17.56|3070289
ABCD|XLC|t|2257|4.10|459263
ABCO|XLI|t|4033|30.06|8134247
ABCR|XLI|t|446|5.41|306384
ABCW|XLF|t|378|38.65|1907297
ABDC|XLI|t|1443|7.66|423908
ABDS|XLB|t|2368|185.03|196971
ABEOW|XLV|t|717|4.61|26127
ABEV|XLP|f|4175|2.53|29744174
ABF|XLI|t|1419|15.07|34028
ABFIQ|XLF|t|1613|6.30|215927
ABFS|XLI|t|3603|27.08|11590426
ABG|XLY|f|4735|38.53|10200046
ABGB|XLI|t|635|13.80|817483
ABGBY|XLI|t|646|14.06|830099
ABGX|XLV|t|1570|22.88|40091289
ABII|XLV|t|736|55.32|2883259
ABIL|XLI|t|1003|21.23|2218447
ABIO|XLV|f|4460|215640.91|1298969
ABIX|XLI|t|2365|6.10|590779
ABM|XLI|f|5284|18.14|5674169
ABMD|XLV|f|5282|64.82|36556457
ABN|XLI|t|3468|11.15|37942
ABNJ|XLF|t|909|10.69|322910
ABR|XLRE|f|4214|3.09|1709767
ABRN|XLF|t|958|24.98|250736
ABRX|XLV|t|1664|9.66|29686066
ABSC|XLI|t|389|45.15|23149182
ABST|XLK|f|3028|5.13|135342
ABT|XLV|f|5284|27.49|236102036
ABTC|XLF|f|614|16878.76|2279385
ABTL|XLI|t|4468|15.67|1337134
ABTX|XLF|f|1318|31.49|2353380
ABUS|XLV|f|2544|6.01|6761834
ABVA|XLF|t|2386|8.62|71440
ABVT|XLC|t|1462|40.71|6446923
ABWTQ|XLB|t|2752|28.59|10634380
ABY|XLU|t|558|13.18|6830919
AC|XLF|f|1286|32.55|522013
ACA|XLI|f|547|37.56|13690359
ACAD|XLV|f|4177|17.13|27400705
ACAM|XLY|f|294|10.09|3243872
ACAMY|XLV|t|1384|8.57|636555
ACAP|XLF|t|2464|21.29|1041094
ACAS|XLI|t|4278|12.71|25502847
ACBA|XLF|f|1850|8.84|74911
ACBI|XLF|f|1301|16.43|1647363
ACC|XLF|f|4127|25.34|20028685
ACDO|XLV|t|1416|22.74|19350624
ACEC|XLK|t|2158|2.27|161272
ACEL|XLY|f|688|10.25|2769468
ACEL-WS|XLI|f|659|9.27|2670692
ACETQ|XLI|t|4921|8.30|1558501
ACF|XLF|t|3134|20.02|25098427
ACFC|XLF|t|3233|115.90|421114
ACGL|XLF|f|5274|13.38|23441446
ACGLP|XLF|f|1076|20.53|1557870
ACGN|XLV|f|5255|647.66|48400893
ACHC|XLV|f|5245|21.14|13858815
ACHI|XLI|t|377|2.63|42807
ACIA|XLK|f|1168|55.42|54131857
ACIC|XLF|f|2353|10.19|1516799
ACIW|XLK|f|5284|13.44|10332175
ACKH|XLB|t|1990|3.33|1025627
ACLA|XLV|t|1188|8.85|2740482
ACLI|XLI|t|1311|60.45|13702228
ACLS|XLK|f|5153|20.69|6069705
ACM|XLI|f|3437|28.95|31062327
ACME|XLC|t|3211|5.05|234158
ACMM|XLI|t|882|0.37|27351
ACMR|XLK|f|795|9.30|9587799
ACN|XLK|f|4895|61.40|160791316
ACNAQ|XLY|t|1161|3.41|70474
ACNB|XLF|f|4602|12.92|88832
ACO|XLB|t|3610|21.72|3676583
ACOM|XLK|t|792|26.11|19583088
ACOR|XLV|f|3748|2715.13|575557728
ACPW|XLU|t|4211|80.50|8619310
ACRTQ|XLF|t|929|15.29|3072241
ACSF|XLI|t|1161|9.62|570938
ACST|XLV|f|2087|284.51|966051
ACTA|XLK|t|4603|68.68|14900333
ACTM|XLK|t|496|25.15|12675906
ACTRQ|XLV|t|949|6.78|2398708
ACVC|XLI|t|283|15.40|3659565
ACW|XLY|t|1692|18.41|3339133
ACX|XLI|t|535|10.50|826309
ACXM|XLK|t|4717|19.90|13086917
AD|XLC|f|5284|23.54|2924547
ADAM|XLRE|f|4111|8.23|2105584
ADAP|XLV|f|1426|7.22|4581937
ADAPQ|XLI|t|344|25.21|18026426
ADBE|XLK|f|5284|82.78|312434702
ADC|XLRE|f|5283|17.53|3803441
ADD|XLY|f|365|188767.03|2428380
ADEA|XLK|f|4313|5.97|7874765
ADELQ|XLC|t|1783|12.01|26391014
ADEP|XLI|t|3935|17.03|888051
ADES|XLB|f|4310|6.82|869755
ADGE|XLU|t|2273|1.57|53954
ADGF|XLY|t|3082|4.80|65964
ADHD|XLV|t|1133|55.48|10005721
ADI|XLK|f|5284|40.12|120647738
ADIC|XLK|t|1670|12.25|10288328
ADILW|XLV|f|343|0.39|6169
ADLTQ|XLI|t|988|4.51|1005472
ADM|XLP|f|5284|21.58|89203795
ADMA|XLV|f|1782|5.80|2188939
ADMGQ|XLB|t|1384|0.50|10500
ADMS|XLV|f|1695|15.05|7022913
ADN|XLK|f|370|310.51|3038666
ADNC|XLK|t|789|10.54|2083390
ADNT|XLY|f|1059|40.03|49211465
ADP|XLK|f|5284|48.55|114443652
ADPT|XLV|f|383|38.00|35827664
ADRA|XLI|f|801|30.81|50631
ADRO|XLV|t|1378|49.68|23940685
ADRX|XLV|t|1722|34.81|43871116
ADS|XLF|f|4923|84.53|65504236
ADSC|XLK|t|868|3.27|89696
ADSK|XLK|f|5284|54.95|130936636
ADSP|XLK|t|447|2.59|1434016
ADSW|XLU|f|1024|26.89|23232111
ADT|XLI|f|744|6.28|21799790
ADTN|XLK|f|5284|16.40|14587229
ADUS|XLV|f|2812|32.86|3518290
ADVNQ|XLF|t|2630|10.79|443746
ADVP|XLV|t|1061|28.27|48959491
ADVS|XLK|t|3901|21.00|11250839
ADY|XLP|t|2006|12.93|1613507
ADYN|XLF|t|628|5.07|46090
ADZA|XLV|t|580|16.79|2774152
AE|XLI|f|5205|21.61|198679
AEB|XLF|f|3801|15.46|423359
AED|XLI|t|3396|15.41|641045
AEE|XLU|f|5284|27.26|37898824
AEG|XLF|f|5284|4.72|3800045
AEGN|XLI|f|5284|20.83|4929361
AEGR|XLV|t|1536|25.47|16076454
AEH|XLI|t|3615|15.34|1176942
AEHR|XLK|f|5021|3.14|145499
AEIS|XLI|f|5284|27.74|11102628
AEK|XLF|t|1554|27.33|1479379
AEL|XLF|f|4299|15.61|9059133
AEM|XLB|f|5284|29.14|61935165
AEN|XLV|t|1251|10.53|1606918
AEO|XLY|f|5284|9.62|46113291
AEP|XLU|f|5284|29.07|77352015
AEPI|XLB|t|4286|36.30|1406838
AEPPL|XLU|f|454|45.75|7597859
AER|XLI|f|3552|28.29|34981868
AERI|XLV|f|1809|30.79|18541257
AES|XLU|f|5284|10.44|46910907
AESK|XLC|t|549|1.59|67936
AESP|XLK|t|1605|1.19|106134
AET|XLF|t|4757|53.04|157263741
AETC|XLI|t|1297|3.89|133308
AEUA|XLI|t|753|36.99|1870955
AEZS|XLB|f|3833|59915.60|1526470
AF|XLF|t|4465|12.62|10262732
AFA|XLF|t|390|25.54|178934
AFAM|XLV|t|4425|20.16|2441866
AFBC|XLF|t|701|14.09|23263
AFBK|XLI|t|636|11.26|80908
AFC|XLI|f|3453|15.10|245806
AFCB|XLF|t|1122|20.19|64831
AFCI|XLI|t|1234|23.98|49240109
AFCO|XLK|t|324|6.64|879831
AFFX|XLV|t|4086|19.93|28359243
AFG|XLF|f|5284|21.04|8170566
AFH|XLF|f|1979|11.23|826346
AFI|XLB|f|1197|12.42|2469894
AFIN|XLF|f|619|8.27|5643044
AFINP|XLF|f|450|20.08|1104949
AFL|XLF|f|5284|19.71|91364046
AFOP|XLK|t|3903|7.76|1802319
AFREZ|XLRE|t|841|7.28|85091
AFSD|XLF|t|1294|24.96|1172893
AFSI|XLF|t|3032|12.29|9049991
AFSS|XLF|t|915|22.37|498038
AFST|XLF|t|854|23.00|477128
AFW|XLF|t|1264|24.39|478010
AFWY|XLI|t|280|18.48|4666273
AFX|XLI|t|3726|21.03|4489378
AFYA|XLP|f|368|23.44|6642930
AG|XLB|f|4146|7.56|16798044
AGAM|XLV|t|307|14.39|7538056
AGCH|XLI|t|305|14.04|606739
AGCO|XLI|f|5284|32.24|35734235
AGCX|XLC|t|345|4.51|3872087
AGE|XLV|f|526|76.78|70439658
AGFS|XLB|f|1586|5.57|886049
AGFSW|XLB|t|1280|0.64|25464
AGI|XLB|f|4210|7.62|5386709
AGIIL|XLF|t|1178|46.39|1586043
AGIO|XLV|f|1875|57.65|34800787
AGLE|XLV|f|1194|177.38|1083783
AGM|XLF|f|5283|23.64|1384490
AGMA|XLF|f|3317|19.49|19690
AGN|XLV|t|5118|93.40|249340735
AGNC|XLRE|f|3181|5.13|25295914
AGNCB|XLF|t|1397|20.76|497845
AGNCM|XLRE|f|466|14.58|1006861
AGNT|XLV|t|1544|4.31|3999056
AGO|XLF|f|4203|19.98|23466956
AGP|XLF|t|2802|32.30|26335367
AGRO|XLP|f|2499|7.58|2879980
AGS|XLY|f|739|15.62|5845149
AGTC|XLV|f|1705|9.56|1690857
AGU|XLB|t|4528|47.55|62424627
AGX|XLI|f|4058|19.53|2431594
AGY|XLC|t|1446|28.33|8159268
AGYS|XLK|f|5284|12.46|1964720
AHCI|XLV|t|2876|3.48|345317
AHCO|XLV|f|486|15.58|4512915
AHG|XLV|f|795|12.70|1190001
AHGP|XLB|t|3036|22.81|1594339
AHH|XLRE|f|1927|7.31|1955965
AHLS|XLI|t|898|5.04|405496
AHM|XLF|t|1070|45.44|869976
AHNA|XLI|t|2506|0.49|26422
AHOM|XLV|t|2501|1.22|109256
AHPA|XLI|f|260|9.97|956846
AHPAW|XLI|f|272|0.37|17554
AHWY|XLK|t|259|3.14|376097
AIC|XLF|f|1356|15.53|60918
AICOQ|XLI|t|1355|5.04|123173
AICX|XLV|t|1721|6.69|2514376
AIG|XLF|f|5284|346.20|310562383
AIH|XLI|f|298|6.58|580908
AIII|XLF|t|3322|3.44|17114
AIK|XLF|t|2410|0.42|33235
AIKI|XLF|f|3520|312316.12|10532760367
AILP|XLI|t|425|2.26|1531704
AIMC|XLI|f|3535|22.96|6750609
AIMCV|XLI|t|2965|22.40|3999908
AIMM|XLV|t|2635|1.20|134427
AIMT|XLV|t|1305|22.64|17661392
AIN|XLY|f|5284|28.49|4574164
AINC|XLI|f|1457|54.48|489039
AIND|XLI|t|480|16.69|1482837
AINV|XLI|f|4213|14.93|13219295
AIOT|XLK|f|5251|7.38|466887
AIPC|XLP|t|2653|25.79|6400420
AIPT|XLV|f|2364|25241.67|3745795344
AIR|XLI|f|5284|21.11|6409623
AIRM|XLI|t|4350|16.96|5952942
AIRTW|XLI|f|322|0.06|21768
AIRV|XLI|t|686|6.02|1256533
AIT|XLI|f|5284|27.32|6166261
AITB|XLV|t|458|4.69|55836
AIU|XLY|f|697|900.36|1654269
AIV|XLRE|f|5284|1.86|14683071
AIW|XLF|f|1543|17.71|50587
AIXG|XLI|t|2974|12.97|3035883
AIY|XLI|t|1540|25.20|354418
AIZ|XLF|f|4257|50.15|34994567
AIZP|XLF|f|682|103.47|2283329
AJG|XLF|f|5284|30.82|25324078
AJRD|XLI|f|5284|14.62|8548250
AJXA|XLF|f|850|17.19|224160
AK|XLI|t|614|13.67|854135
AKAM|XLK|f|5284|44.18|114032462
AKAO|XLV|t|1289|9.50|7216732
AKCA|XLV|t|816|21.64|7417361
AKG|XLB|t|3671|2.90|867804
AKLM|XLK|t|1258|1.92|2992379
AKR|XLRE|f|5271|12.03|4562863
AKRO|XLV|f|388|25.08|5340632
AKRX|XLV|t|3947|13.36|14659186
AKS|XLB|t|5080|10.75|61271624
AKSO|XLI|f|1526|35.50|43007954
AKU|XLV|f|375|3.27|92394
AL|XLI|f|2443|28.73|21960648
ALA|XLI|t|3676|22.30|404974
ALAC|XLI|f|323|10.39|565366
ALACR|XLI|f|277|0.24|17632
ALACW|XLI|f|372|0.18|53449
ALB|XLB|f|5284|40.31|45003254
ALC|XLV|f|438|57.60|72762535
ALCD|XLB|t|1112|20.05|112887
ALCS|XLY|t|3702|14.76|105764
ALDN|XLK|t|2312|13.42|2078856
ALDR|XLV|t|1374|20.73|19237401
ALDW|XLE|t|1312|12.53|2937614
ALE|XLU|f|5283|27.37|6223886
ALEX|XLRE|f|2147|17.39|4331412
ALFC|XLF|t|717|20.40|117376
ALG|XLI|f|5213|38.58|1843388
ALGI|XLY|t|2196|6.35|23963
ALGN|XLV|f|5015|70.84|67973970
ALGR|XLF|t|294|9.97|987200
ALGT|XLI|f|3540|87.24|15570996
ALGXQ|XLC|t|1126|16.36|18389048
ALI|XLI|t|766|1.32|163992
ALJ|XLE|t|3003|12.44|7029774
ALK|XLI|f|5284|26.24|43224219
ALKS|XLV|f|5283|26.59|28838950
ALL|XLF|f|5284|40.01|107007009
ALLB|XLF|t|2717|13.52|93162
ALLE|XLI|f|1793|70.06|50782290
ALLI|XLI|t|1149|7.50|1005590
ALLK|XLV|f|619|65.38|23695657
ALLP|XLV|t|2235|8.35|807394
ALLY|XLF|f|1702|18.63|74600628
ALNA|XLV|f|796|6.08|1103798
ALNC|XLF|t|2979|28.03|189271
ALNT|XLK|f|5183|8.45|572989
ALNY|XLV|f|4178|49.19|37562252
ALOG|XLV|t|4648|55.42|5063954
ALPA|XLB|f|372|20.55|641892
ALRM|XLK|f|1390|40.81|17848124
ALRN|XLV|f|884|74.86|536596
ALRS|XLF|f|2088|11.92|123005
ALSK|XLC|f|5282|3.78|1340058
ALSM|XLK|t|345|4.05|226906
ALSN|XLY|f|2215|28.76|34669687
ALTH|XLV|t|3130|5.04|2876709
ALTM|XLB|f|560|2.70|17516973
ALTR|XLK|f|797|35.34|11749940
ALTUQ|XLV|t|964|8.84|1489566
ALTV|XLC|t|3723|15.16|142503
ALV|XLY|f|5284|34.89|20765186
ALVU|XLK|f|686|5.95|51884
ALX|XLRE|f|5218|121.28|919036
ALXA|XLV|t|2589|28.04|6377320
ALXN|XLV|f|5284|63.81|117259836
ALYA|XLK|f|5227|399.69|37898447
ALYS|XLK|t|264|4.15|359206
AM|XLE|f|923|6.16|14042050
AMAG|XLV|t|5204|22.45|12069911
AMAL|XLF|f|612|13.78|1114330
AMAP|XLK|t|1018|14.66|4911792
AMARQ|XLV|t|3005|0.46|16947
AMAT|XLK|f|5284|20.41|361659372
AMBA|XLK|f|2070|46.44|62206551
AMC|XLC|f|1772|154.25|20769827
AMCC|XLK|t|4294|82.06|249476994
AMCIW|XLK|f|311|0.54|402374
AMCR|XLY|f|802|35.50|28490678
AMD|XLK|f|5283|15.03|536550151
AME|XLI|f|5284|30.99|38477327
AMED|XLV|f|5272|42.72|17726022
AMES|XLY|t|412|8.12|6144450
AMG|XLF|f|5284|98.09|47401095
AMGIA|XLC|t|759|10.68|154347
AMGN|XLV|f|5284|74.14|382786570
AMGP|XLU|t|466|17.01|12745866
AMH|XLRE|f|1869|17.64|33635970
AMHNE|XLY|t|515|3.62|68024
AMI|XLV|t|1125|6.82|1582494
AMIS|XLK|t|1123|12.13|4291241
AMKR|XLK|f|5284|9.11|15328800
AMLN|XLV|t|3169|21.30|45630848
AMMA|XLK|t|584|397.60|59106720
AMMD|XLV|t|2726|14.93|11257315
AMN|XLV|f|4817|21.39|9936990
AMOT|XLV|f|5183|8.28|438502
AMOV|XLC|f|4971|11.24|107108
AMP|XLF|f|3851|70.28|88418808
AMPH|XLV|f|1643|16.95|4373130
AMR|XLB|f|1074|42.72|3148787
AMRC|XLI|f|2631|11.67|2004352
AMRHW|XLV|t|472|0.17|9446
AMRX|XLV|f|3011|19.53|16772512
AMSC|XLI|f|5284|107.66|7305686
AMSF|XLF|f|3805|21.82|2018215
AMSG|XLV|t|4251|27.97|11241616
AMSWA|XLK|f|5284|5.32|497711
AMSY|XLK|t|1088|19.13|6024225
AMT|XLRE|f|5284|56.32|128660361
AMWD|XLY|f|5282|39.98|5223064
AMX|XLC|f|5007|363.45|6314482734
AMXC|XLK|t|1322|8.00|1402504
AMZN|XLY|f|5284|23.61|2216358471
AN|XLY|f|5284|30.52|34942184
ANAB|XLV|f|990|33.15|17116854
ANAD|XLK|t|4075|7.38|7908823
ANCI|XLV|t|667|3.46|120260
ANCN|XLV|f|472|40.62|12240882
ANDA|XLP|f|473|151.32|5582451
ANDAR|XLP|f|536|0.51|16508
ANDAU|XLP|f|268|10.47|275195
ANDAW|XLP|f|529|0.49|28850
ANDE|XLP|f|5249|18.54|5108042
ANDS|XLV|t|1928|4.44|1285074
ANDV|XLE|t|4716|32.81|99691506
ANDW|XLB|t|2008|14.98|27438812
ANET|XLK|f|1656|10.23|140496373
ANF|XLY|f|5284|26.52|66619757
ANFI|XLP|t|2010|189.56|11194802
ANGI|XLC|f|2295|119.06|13396516
ANIP|XLV|f|4782|90.72|4011327
ANLY|XLK|t|3458|12.45|201694
ANN|XLY|t|3934|24.82|37067271
ANOR|XLV|t|254|6.99|1951781
ANPIQ|XLV|t|2828|9.48|5673557
ANR|XLB|t|2620|24.30|109178803
ANRZ|XLB|t|2880|22.12|100903982
ANSI|XLV|t|1485|26.25|8122905
ANSS|XLK|f|5284|69.47|34416144
ANST|XLK|t|2157|12.99|2048839
ANSW|XLK|t|1636|9.34|1636530
ANT|XLK|t|1070|34.59|12975200
ANTE|XLV|f|3311|77.34|1485611
ANTVY|XLC|t|713|9.34|255910
AOG|XLE|t|442|31.63|2534064
AOGSQ|XLE|t|866|1.22|471478
AOL|XLK|t|1402|30.84|47645326
AOLAQ|XLK|t|1487|1.84|793041
AON|XLF|f|5284|62.79|90452317
AORGB|XLY|t|633|50.42|116223
AORT|XLV|f|5284|12.52|2220268
AOS|XLI|f|5284|16.36|22299754
AOSL|XLK|f|2689|11.83|1301341
AOT|XLV|t|1150|22.36|12706089
APA|XLE|f|5284|44.13|165423852
APAGF|XLE|t|3231|22.16|448796
APAM|XLF|f|1971|15.94|6009693
APCFY|XLB|t|1063|4.39|9279
APCS|XLC|t|2334|8.09|13182041
APD|XLB|f|5284|77.53|100378849
APEI|XLP|f|3309|32.80|4984337
APEN|XLV|f|3497|66.74|129742
APFC|XLB|t|3484|10.79|355747
APG|XLI|f|354|9.48|12557619
APH|XLK|f|5284|8.17|51248517
APHA|XLV|f|1271|5.84|19912849
APHT|XLV|t|1733|9.04|854263
APIC|XLK|t|392|11.00|2992594
APKT|XLK|t|1624|22.97|41618760
APL|XLU|t|3952|18.37|5476574
APLE|XLRE|f|1418|10.81|14822427
APLP|XLU|t|2901|12.90|1688184
APMC|XLK|t|1126|2.77|124249
APO|XLF|f|2457|17.83|23413199
APOG|XLI|f|5284|18.16|4326223
APOL|XLY|t|4298|41.38|102872658
APOP|XLV|f|1105|11285.61|1539589651
APPF|XLK|f|1390|63.36|8473333
APPN|XLK|f|908|41.33|34384221
APQCF|XLB|t|1051|0.31|13145
APRN|XLY|f|884|318.33|11271136
APRS|XLK|t|1449|5.07|945253
APS|XLB|t|333|0.87|29626
APTI|XLK|t|1241|16.39|7906940
APTV|XLY|f|2295|61.34|119549212
APTX|XLV|f|638|8.11|2326387
APU|XLY|t|4940|18.74|3974944
AQ|XLK|t|470|11.80|5211036
AQN|XLU|f|2726|5.17|1376156
AQNA|XLU|f|552|20.68|787678
AR|XLE|f|1820|23.69|61168245
ARA|XLV|f|1184|14.39|2490526
ARBA|XLK|t|3208|67.48|2795439548
ARCB|XLI|f|5284|24.71|9206420
ARCC|XLF|f|4090|4.74|8735859
ARCE|XLY|f|571|39.35|8173411
ARCL|XLY|t|627|11.52|1124027
ARCO|XLY|f|2446|7.69|8297415
ARDI|XLK|t|1603|6.04|3399643
ARDM|XLV|t|4681|68627.81|106383357
ARDNA|XLP|t|3316|67.09|141022
ARDX|XLV|f|1647|9.29|2748898
ARE|XLRE|f|5284|51.29|27507877
ARES|XLF|f|1680|16.75|7957158
AREX|XLE|t|3023|12.12|6654449
ARGSQ|XLV|t|1401|73.89|11144099
ARGX|XLV|f|909|122.30|21218785
ARGY|XLY|t|441|7.26|128549
ARI|XLRE|f|2837|5.03|4256780
ARIA|XLV|t|4308|7.33|24238268
ARIS|XLB|f|2302|47.50|35698
ARKO|XLY|f|493|9.22|3190502
ARKOW|XLP|f|263|1.26|79152
ARLO|XLI|f|608|5.93|7162338
ARLP|XLE|f|5284|5.75|1596692
ARLZ|XLV|t|639|2.66|2173007
ARMK|XLI|f|1776|21.99|58751015
ARMN|XLB|f|2302|74.62|56074
ARNC|XLB|f|1049|22.94|95455580
ARO|XLY|t|3508|13.15|31075618
AROW|XLF|f|5279|11.49|322796
ARR|XLRE|f|3187|31.38|3242761
ARS|XLB|t|1752|15.69|3978333
ARSD|XLE|t|1976|5.64|269750
ARTG|XLK|t|2770|8.54|14891951
ARTT|XLC|t|313|12.76|6767302
ARTX|XLK|t|5020|148.31|13862346
ARUN|XLK|t|2051|16.32|38450091
ARVN|XLV|f|570|28.98|15049989
ARW|XLK|f|5284|42.72|29213997
ARWM|XLB|t|713|2.12|17582
ARWR|XLV|f|4397|20.52|11610470
ARXX|XLK|t|1915|12.12|10688637
ASA|XLF|f|5284|14.23|2413362
ASB|XLF|f|5284|12.91|11629272
ASC|XLI|f|1869|6.88|1544313
ASCL|XLK|t|1338|19.79|19049922
ASFD|XLY|t|550|21.64|605720
ASGN|XLK|f|5284|25.48|7710926
ASH|XLB|f|5284|29.56|36768827
ASHW|XLY|t|2235|6.86|457641
ASIX|XLB|f|1081|23.76|5857352
ASL|XLB|t|1082|5.30|2186532
ASM|XLB|f|4065|1.39|228527
ASML|XLK|f|5284|71.47|79341769
ASNA|XLY|t|5234|160.56|232611228
ASND|XLV|f|1494|63.95|12867219
ASPIY|XLY|t|529|4.83|100455
ASR|XLI|f|5094|51.52|3552995
ASTE|XLI|f|5284|28.52|4387794
ASTSF|XLK|t|2114|11.15|3632471
ASTTY|XLK|t|2289|4.63|423059
ASX|XLK|f|5088|2.13|1952862
ATCM|XLK|t|324|18.64|144048
ATE|XLK|t|3653|8.30|122573
ATEC|XLV|f|3672|24.29|932393
ATEN|XLK|f|1709|6.77|3170267
ATEX|XLC|f|1490|34.43|2784194
ATGC|XLU|t|462|2.04|83438
ATGI|XLY|t|1512|3.36|121857
ATHL|XLE|t|324|39.01|52737490
ATHM|XLC|f|1777|45.90|37693284
ATI|XLI|f|5284|28.31|55412071
ATISW|XLB|t|316|1.60|19038
ATJ|XLB|t|371|1.72|6416
ATKR|XLI|f|1149|23.65|9505477
ATLC|XLF|f|5165|10.31|3568091
ATMI|XLB|t|3602|24.06|8920732
ATML|XLK|t|4088|6.58|50731769
ATNY|XLK|t|2534|3176.07|53552861
ATO|XLU|f|5284|32.38|18747306
ATR|XLV|f|5284|42.52|11328414
ATRC|XLV|f|3876|16.05|3127849
ATRO|XLI|f|5247|12.83|2558012
ATS|XLI|f|2174|9.97|38225
ATSN|XLK|t|1589|11.54|5599810
ATTL|XLC|t|597|2.54|764856
ATTU|XLK|t|4613|27.45|1165480
ATUS|XLC|f|889|22.74|112754290
ATW|XLE|t|4469|22.45|22003364
ATX|XLY|t|3485|7.37|170401
ATY|XLK|f|541|2.00|332653
ATYT|XLK|t|1713|12.42|41553854
AUB|XLF|f|5205|14.38|2054715
AUD|XLC|f|4552|637.20|249079404
AUG|XLB|f|1319|2.36|366433
AUO|XLK|t|4363|5.51|11948376
AUQ|XLB|t|2978|7.81|9459532
AURDQ|XLY|t|1219|7.60|1906330
AUSPF|XLE|t|1841|1.50|34495
AUTH|XLK|t|1331|4.91|1649987
